card_id,card_name,system,definition,,,,,,,,,
1,Despair,Emptiness,"From the Latin de (without) sperare (hope), despair means losing hope of ever finding meaning in life. In the early twentieth century Existentialists saw despair as a fundamental condition of living in a universe without fate, without God and without purpose. They saw despair as both painful and liberating. For Albert Camus, the Greek myth of Sisyphus expressed this optimistic aspect of despair. The mortal Sisyphus, for his impudence and overreaching, is condemned to a hopeless labour. He must roll a huge stone up a slope, until at the top the rock rolls back down, at which point Sisyphus must begin to push it up again. Most of us might imagine weeping in frustration, and then, on realising that the task will never end, falling backwards into a dark silence. But for Camus, it was by losing hope in ever finding a meaning that Sisyphus became free. His fate is simply the sum of his actions. Rather than giving up, he simply adjusts to the pointlessness of it all. And out of his despair at the futility of his predicament, a strange lightness comes. He becomes, writes Camus, 'stronger than his rock'.",,,,,,,,,
2,Grief,Emptiness,"The confusion and pain of grief is so personal, so unfathomable. If we are lucky, profound grief is something we'll experience only a few times in our lives, so it is nearly always disorientating. We may feel a debilitating SHOCK. We may experience a peculiar stiffness as if all emotion has been suspended. There may be RELIEF that a terminally ill loved one is no longer suffering, gratitude that our burden of care is over there may be sHAME at these feelings too. C. S. Lewis described, following the death of his wife in 1950, experiencing a l permanently provisional feeling. It doesn't seem worth starting anything. I cant settle down. I yawn. I fidget ... I am beginning to understand why grief feels like suspense? We commonly refer to different 'stages' of grief. Denial comes first. Then ANGeR, bargaining, depression. Finally comes acceptance. This 'five stages of grief' model can be traced back to the Swiss psychiatrist Elisabeth Kübler-Ross in the late 1960s. We might increasingly wonder how helpful this rigid model may be (Kübler-Ross herself wasn't so sure). For many of us, moving from denial to acceptance involves more of an ebb and flow. For others, grief is an endlessly circular process, something we never really 'get over' - even if we do learn to live with it.",,,,,,,,,
3,Acedia,Emptiness,"Imagine you're a Christian hermit, living in the deserts of western Egypt in the fourth century. The sun beats down on the roof of your mud-brick cell. Inside, you re praying, kneeling upon a carpet of stones - when you start to feel a little bit bored. It's a distracting, creeping feeling. Like the tickle of a gnat crawling up your arm. You must defeat it, or else, risk succumbing to that most dangerous of all sinful passions: acedia. Acedia (pronounced a-seed-ee-a) or sometimes called accidie, is an emotion that has no real equivalent today. It was a disastrous emotional crisis, usually striking between 11 a.m. and 4 p.m, when the midday heat would be at its worst. Its first signs were listlessness and irritability, but it didn't take long to turn into desolation and despair. The Desert Mothers and Fathers believed it was sent by the Devil's minions, known as 'noonday demons. In the sixth century, acedia was dropped from the list of mortal sins. Some of its symptoms were absorbed into the illness melancholia, a forerunner to our own states of depression and anxiety (see: MELANCHOLY). The rest became the moral vice sloth.",,,,,,,,,
4,Hatred,Emptiness,"It was in the 1980s that American journalists first coined the term 'hate crime' to describe a wave of attacks on people of marginalised groups. In the 1990s, western Europe experienced a similar outbreak of violence fuelled by intolerance and prejudice, and introduced its own 'hate-crime legislation'. The word 'hate' does not appear in the legislation itself; but it is governments, police spokespeople and journalists who speak of 'hate-fuelled violence'. Some legal scholars say this emotive language is deliberately inflammatory, making it possible to give tougher sentences: it is, it seems, easier to punish someone for their irrational emotions, than for their beliefs. Those who defend the terminology argue that it's the hatred which is toxic and which inflames the desire to humiliate victims, not some reasoned belief. Can you punish an emotion? Is there even an objective measure for it? Hatred may be the focus of legal and philosophical argument, but in the meantime, it has become a byword for all that is contemptible, intolerant and anti-social in our societies.",,,,,,,,,
5,Zal,Emptiness,"The life of composer Frédéric Chopin was lived in the sharp twists and bitter resentments that come when we lose everything. His exile from Poland, his turbulent relationship with the novelist George Sand, his frail health which forced him to withdraw from society of others, the strange episodes of delirium foreshadowing the consumption that killed him at thirty-nine. For Chopin, it was the untranslatable Polish emotion Żal that produced the morbid intensity we can still hear in his work, arguably the most haunting piano music ever created. It was, according to Chopin's friend and biographer Franz Liszt, the 'soil of his heart'. Zal (pronounced jahl) is melancholy felt at an irretrievable loss. This is not a straightforward dejection. Zal is fickle, and shifts its shape, at one moment resigned, the next rebellious. It combines the DISAPPOINTMENT, REGRET and even violent fury which comes when some part of our lives has been taken away for good. Chopin's Zal, wrote Liszt, found its greatest expression in the composer's later works - the Etudes and Scherzos, which speak of a despair, 'sometimes ironic, sometimes disdainfully proud, of recognising the end of things.",,,,,,,,,
6,Disgust,Bitterness,"You smell sour milk and your nose wrinkles. You accidentally touch dog poo and your gorge rises. It's the quick-as-a-flash electric current, running from noxious substance to revolted feeling, which makes disgust so fascinating. You encounter a poison and your body refuses it. It's simple, life-saving even. But little is further from the truth. The sense that something is 'out of place' might be more important to provoking feelings of disgust than the objectively dangerous. Those odd little glitches, where the stomach heaves in response to some object we know can't hurt us. The hair in the mouth, or the skin on a mug of hot milk, or the soup clinging to a man's beard which might make us bilious. What we speak of as 'disgust' describes so many different kinds of responses - the vomitous feeling of seeing rotten meat, the nauseating horror on seeing a person's skin flapping open, even a feeling of moral queasiness. As with so many of our emotions, it's not easy to tell where disgust begins and ends. After all, disgust arises more powerfully when boundaries dissolve, meaning breaks down and things slide 'out of place'",,,,,,,,,
7,Jealousy,Bitterness,"We are heirs to a strange and conflicted history of jealousy, shaped almost entirely by gender. The idea that jealousy was the natural response to infidelity was consolidated through a series of legal cases. In 1670 John Manning caught his wife with another man, and then beat him to death. He was sentenced to be branded 'gently' on the hand - 'because there could not be greater provocation than this. Thirty-seven years later, a judge declared jealousy 'the rage of a man, and adultery the highest invasion of property. With jealousy defined as a natural masculine emotion inevitably experienced when one's property was threatened, the murder charge was downgraded to manslaughter. In Britain the provocation of infidelity is no longer admitted as a defence in court, although judges still show sympathy to murderers who cite jealousy as a reason to kill. As long as people have relationships and wandering eyes, jealousy will always exist. But what we can change is its status as an emotion that justifies violence. Not least because it's not just men who succumb to it. We all do.",,,,,,,,,
8,Envy,Bitterness,"Most cultures have their traditions of the Evil Eye, a gaze motivated by envy, which poisons, curses or brings misfortune. JEALOUSY, which is above all a fear of losing a loved one to another, is often credited with some romantic appeal. The same cannot be said of envy. Envy is feared not only because it gives rise to a greedy desire to steal the admired object but because it is destructive and, left to fester, it turns to HATRED and maliciousness. But, could there be something of value in the impulse to want what others have? Those who live on the Pacific atoll of the Ifaluk speak of Song, the anger caused when someone fails to share properly, and consider it a perfectly reasonable response. Since the mid-1990s, neuroscientists have argued that our emotions underpin even our most rational ideas, helping us weigh up our choices. Sometimes the belief that others have it much better than we do is a mere trick of the light. But many have an awful lot less than they deserve. A twinge of envy might just be an emotional antenna alerting you to some disparity or inequality not too far away. Whether you decide to respond with destructive fury or something a little more creative is, of course, up to you.",,,,,,,,,
9,Self-Pity,Bitterness,The philosopher Max Scheler wrote that self-pity demands an imaginative tour de force: we must stand outside ourselves in a fantastic doubling. The person who feels sorry for himself regards himself as if he were someone else, wrote Scheler, and looks down upon this helpless being, shedding a tear for the unfairness of their pathetic situation. When things don't go our way, one half of us gets to feel superior, enjoying the RELIEF that pitying someone else can bring. Self-pity can be little more than a short and pleasurable indulgence, but sometimes, we become stuck with our feelings of unfairness. Self-pity brings our horizons so claustrophobically near that other people's viewpoints become impossible for us to imagine. Not only do we loathe ourselves," but we can't bear anyone else either. Frustrated families and friends have used all kinds of techniques to try to snap their loved ones out of the absorption of self-pity. One technique is suggested by recent research on altruism. Encourage your own beloved to perform small and random acts of kindness towards strangers and they might just rediscover compassion - and find some kindness for themselves too.""",
10,Remorse,Bitterness,"We live in what has been dubbed an 'Age of Apology - from politicians formally apologising for atrocities committed by their predecessors, to South Africa's Truth and Reconciliation Commission. Such apologies can seem inadequate, with the 'performative' aspect making them vulnerable to questions about sincerity. Did Tony Blair really feel remorse for the actions of a nineteenth-century Conservative government, or was his apology just a move in the Irish Peace Process chess game? The question of whether remorse was a passion or an intellectual position was debated between the thirteenth and fifteenth centuries in Europe. Medieval theologians argued that true remorse was a voluntary desire to make amends and a willingness to go through a painful process of penitence. It was only in a quiet state of mind that the penitent could calculate the correct level of penitence required to neutralise the sin. Perhaps the next time we hope to see a politician's eyes glisten our question should not be whether remorse is being truly felt, but whether it is being genuinely thought.",,,,,,,,,
